,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
77,2021-03-19 00:00:00.0000000,2021,1,3,March,Mar,202103,19,6,Friday,Fri,11,False,2021,1,3,False,False,False
78,2021-03-20 00:00:00.0000000,2021,1,3,March,Mar,202103,20,7,Saturday,Sat,11,True,2021,1,3,False,False,False
79,2021-03-21 00:00:00.0000000,2021,1,3,March,Mar,202103,21,8,Sunday,Sun,11,True,2021,1,3,False,False,False
80,2021-03-22 00:00:00.0000000,2021,1,3,March,Mar,202103,22,2,Monday,Mon,12,False,2021,1,3,False,False,False
81,2021-03-23 00:00:00.0000000,2021,1,3,March,Mar,202103,23,3,Tuesday,Tue,12,False,2021,1,3,False,False,False
82,2021-03-24 00:00:00.0000000,2021,1,3,March,Mar,202103,24,4,Wednesday,Wed,12,False,2021,1,3,False,False,False
83,2021-03-25 00:00:00.0000000,2021,1,3,March,Mar,202103,25,5,Thursday,Thu,12,False,2021,1,3,False,False,False
84,2021-03-26 00:00:00.0000000,2021,1,3,March,Mar,202103,26,6,Friday,Fri,12,False,2021,1,3,False,False,False
85,2021-03-27 00:00:00.0000000,2021,1,3,March,Mar,202103,27,7,Saturday,Sat,12,True,2021,1,3,False,False,False
86,2021-03-28 00:00:00.0000000,2021,1,3,March,Mar,202103,28,8,Sunday,Sun,12,True,2021,1,3,False,False,False
87,2021-03-29 00:00:00.0000000,2021,1,3,March,Mar,202103,29,2,Monday,Mon,13,False,2021,1,3,False,False,False
88,2021-03-30 00:00:00.0000000,2021,1,3,March,Mar,202103,30,3,Tuesday,Tue,13,False,2021,1,3,False,False,False
89,2021-03-31 00:00:00.0000000,2021,1,3,March,Mar,202103,31,4,Wednesday,Wed,13,False,2021,1,3,True,True,False
90,2021-04-01 00:00:00.0000000,2021,2,4,April,Apr,202104,1,5,Thursday,Thu,13,False,2021,2,4,False,False,False
91,2021-04-02 00:00:00.0000000,2021,2,4,April,Apr,202104,2,6,Friday,Fri,13,False,2021,2,4,False,False,False
92,2021-04-03 00:00:00.0000000,2021,2,4,April,Apr,202104,3,7,Saturday,Sat,13,True,2021,2,4,False,False,False
93,2021-04-04 00:00:00.0000000,2021,2,4,April,Apr,202104,4,8,Sunday,Sun,13,True,2021,2,4,False,False,False
94,2021-04-05 00:00:00.0000000,2021,2,4,April,Apr,202104,5,2,Monday,Mon,14,False,2021,2,4,False,False,False
95,2021-04-06 00:00:00.0000000,2021,2,4,April,Apr,202104,6,3,Tuesday,Tue,14,False,2021,2,4,False,False,False
96,2021-04-07 00:00:00.0000000,2021,2,4,April,Apr,202104,7,4,Wednesday,Wed,14,False,2021,2,4,False,False,False
97,2021-04-08 00:00:00.0000000,2021,2,4,April,Apr,202104,8,5,Thursday,Thu,14,False,2021,2,4,False,False,False
98,2021-04-09 00:00:00.0000000,2021,2,4,April,Apr,202104,9,6,Friday,Fri,14,False,2021,2,4,False,False,False
99,2021-04-10 00:00:00.0000000,2021,2,4,April,Apr,202104,10,7,Saturday,Sat,14,True,2021,2,4,False,False,False
100,2021-04-11 00:00:00.0000000,2021,2,4,April,Apr,202104,11,8,Sunday,Sun,14,True,2021,2,4,False,False,False
101,2021-04-12 00:00:00.0000000,2021,2,4,April,Apr,202104,12,2,Monday,Mon,15,False,2021,2,4,False,False,False
